Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
c7b781ae		Auto Highlight Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/01auto-highlight.rpy	1	"[what]"
176f8240		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Auto-Highlight itch.io: https://wattson.itch.io/renpy-auto-highlight	game/01auto-highlight.rpy	1	"[what]"
f3e37507		Setup (IMPORTANT)	game/01auto-highlight.rpy	31	"[what]"
15d02f4f		General Note	game/01auto-highlight.rpy	58	"[what]"
2fad2a99		Variables	game/01auto-highlight.rpy	71	"[what]"
b9327469		Transforms	game/01auto-highlight.rpy	89	"[what]"
start_51a5defe		LOCATION ：女巫林外围	game/script.rpy	57	"[what]"
start_9a87610a		TIME：新历100年	game/script.rpy	58	"[what]"
start_cac06d42		一群人正在狼狈的赶路，克制的喘息声和压抑着的抽泣声是它们沿途的旋律。	game/script.rpy	59	"[what]"
start_c98b1f6d		每个人身上或多或少都染了不知是谁的血与灰，有些是敌人的，但更多是亲友的。	game/script.rpy	60	"[what]"
start_cdebc3a7		领头的看上去还有些余力，他焦虑谨慎的四处张望，身前是充满未知和危险的禁地，身后是追兵和状态明显不佳的族人。	game/script.rpy	64	"[what]"
start_e5dd2b99		他知道族人们的体能已经接近极限了，但他们没有停下修整的余裕。	game/script.rpy	65	"[what]"
start_257f837e		他压低声音，尽量放缓语气但仍像催促的口吻。	game/script.rpy	66	"[what]"
start_c8d66379	l	还能提速吗？拉一下孩子和伤员。	game/script.rpy	68	l "[what]"
start_1c3039ca	l	熊不知道什么时候会追上来，这儿还不够安全。	game/script.rpy	69	l "[what]"
start_303d8f3b	b	只要过了河我们就安全了，那里的女巫会保护我们，大家都跟上！	game/script.rpy	72	b "[what]"
start_9a574a16		她用温柔坚定的声音鼓励着族人继续前进。	game/script.rpy	74	"[what]"
start_0b62d9b9		相比之下这位看上去像女性的族人更加冷静，她拉了拉领头的胳膊，示意重新分配负重。	game/script.rpy	75	"[what]"
start_5741cf62		所谓“负重”，其实是一袋一袋的尸块，每一块都不同。	game/script.rpy	76	"[what]"
start_603d1949		长久的奔波和悲痛不止摧残了它们的身心，还让生来良善的亚人们学会了恨。	game/script.rpy	77	"[what]"
start_ea7434c9	a	最后我们还是得向那群贪婪的女巫低头，真恶心。	game/script.rpy	82	a "[what]"
start_86e5b528	a	都怪我们太弱了......要是我们都能像他那样强壮伟大，我们现在也不会这样...要是......	game/script.rpy	83	a "[what]"
start_ca24d95b		灾难降临时，我们都祈求最幸运的那个可能出现，也选择性的只传颂最像‘童话’的那个。	game/script.rpy	85	"[what]"
start_a3a43a20	a	那群臭熊简直是亚人之耻！居然为城墙里的家伙们卖命，难道他们忘记了是亚人收留了连命运都没有的他们吗！？	game/script.rpy	87	a "[what]"
start_8aa6c01a		可惜，这里的人们是未能幸存的人们之中的幸存者们。	game/script.rpy	91	"[what]"
start_791af57e	c	妈妈，我跑不动了。脚好痛，有好多血...妈妈...	game/script.rpy	95	c "[what]"
start_ce579c02	c	我好害怕...	game/script.rpy	96	c "[what]"
start_61471b2f	d	再坚持一下，就一下，我们马上就到家了，到家了就安全了。到家了我们就痛痛飞飞好不好？	game/script.rpy	97	d "[what]"
start_602ad964	d	等到家了，妈妈每天都带着你飞高高。我们每天都会像从前那样。	game/script.rpy	98	d "[what]"
start_d9ddb241		它们逃亡几天了？还剩下几个人？	game/script.rpy	99	"[what]"
start_290931ed		还有食物吗？还剩多少体力？	game/script.rpy	100	"[what]"
start_98c31b07		他们不会感激自己能够‘幸存’，而是在痛苦的泥潭中挣扎。	game/script.rpy	102	"[what]"
start_dc099eb9		背负着无法倾诉的记忆继续幸存，直到他们也沦为不幸者。	game/script.rpy	103	"[what]"
start_f0c22822		女人的身上也尽是血污，她还扛着一具身材高大的尸体，尽管她也在倒下的边缘，她仍温声细语哄着孩子。	game/script.rpy	105	"[what]"
start_eb023369		她很想把孩子抱起来，但她怀里此刻整躺着一具早已残缺不堪，破碎的尸体。	game/script.rpy	106	"[what]"
start_67760d33		而她的翅膀如风中残烛一般，只挂着几缕残羽。	game/script.rpy	107	"[what]"
start_3ba90a1d	d	我们会安全。孩子，再坚持一下，好不好?	game/script.rpy	109	d "[what]"
start_b9cf8320	d	再忍耐一下，我们一定能回家的。	game/script.rpy	110	d "[what]"
start_4c7560b6		女人说着童话一样的梦。	game/script.rpy	112	"[what]"
start_cbc827b3		它们没有余力去想这些，只剩恨和本能驱使它们前进。	game/script.rpy	113	"[what]"
start_e74074e7	c	妈妈，我们还有家吗...？	game/script.rpy	115	c "[what]"
start_ad893dfa	d	......	game/script.rpy	117	d "[what]"
start_33ff8b95		她是族里的老师，负责陪伴抚养孩子们长大，平日里教育孩子们诚实的她不知道怎么回答才能安抚它。	game/script.rpy	119	"[what]"
start_eeb7806a	d	要是一切都没发生就好了。	game/script.rpy	123	d "[what]"
start_36f7fd1f		她温柔的，机械的安抚着孩子。自言自语的叹息道。	game/script.rpy	125	"[what]"
start_6cebb68b		其余族人没有领队那么理智，大家混乱的咒骂或抽泣着。	game/script.rpy	126	"[what]"
start_ced9bccb	x	是啊，要是一切都不同，他也不会死了。	game/script.rpy	130	x "[what]"
start_285c631d	x	要是我有能力保护它们，谁都不用离开...	game/script.rpy	131	x "[what]"
start_e1a4fa49	x	...谁都不用留下来殿后。	game/script.rpy	132	x "[what]"
start_a326c7c5		说话的女性的眼神空洞而又麻木，语气也平静无波。	game/script.rpy	136	"[what]"
start_86cf761e		怀里抱着一只残缺的翅膀，那翅膀很大，有几乎一人高。	game/script.rpy	137	"[what]"
start_d0436fe6		失去的痛苦麻痹了她，可珍视她的人还存在爱。	game/script.rpy	138	"[what]"
start_65969946		爱总是会比恨更鲜活，也更痛苦。	game/script.rpy	139	"[what]"
start_0c928fc7		同行的男性亚人很紧张她，想帮她拿她的负重，可她只是平静的抱着那些尸块跟着领队向前走。	game/script.rpy	140	"[what]"
start_b5236557		血渗透植物编织的袋子，时不时落在她的脚背上，和赶路时细碎伤口流出的血混在一起。	game/script.rpy	141	"[what]"
start_41d0c136	a	不，别怪自己。亲爱的，这一切都是那群**的欲壑难平，不，不，这一切都是那群该死的，幸运的...	game/script.rpy	145	a "[what]"
start_732a8756	a	......	game/script.rpy	146	a "[what]"
start_f90fffac	a	没关系，至少我们抢到了它们的尸体。	game/script.rpy	147	a "[what]"
start_13594c2a	a	我们还有火种，图腾会带着他们回来，在火焰里，他们会再度长大，再度和我们一起度过一次人生。	game/script.rpy	148	a "[what]"
start_14bc1c34	a	好吗？....亲爱的，别这样	game/script.rpy	149	a "[what]"
start_0745dc79		他露出一个很牵强的，完全不能安慰到人的笑。	game/script.rpy	151	"[what]"
start_83b420e2	a	...哭出来吧。	game/script.rpy	153	a "[what]"
start_8b98a5c8	x	......	game/script.rpy	155	x "[what]"
start_1f54d223		或许这里已经没人还有正常的思维了。	game/script.rpy	157	"[what]"
start_3e698948		它们恨啊，怨啊。	game/script.rpy	158	"[what]"
start_f721d3f2		那群幸运的天选者。	game/script.rpy	159	"[what]"
start_d1a316db		那群生来拥有平稳人生的，被神庇佑着的，象牙塔里的人们总在索取更多。	game/script.rpy	160	"[what]"
start_6f63e37d		为了一己私欲夺走他人的生命，为了延寿，治病，甚至是收藏。	game/script.rpy	161	"[what]"
start_5da5c1ea		火鸟们在这样的话题总是无话可说，因为他们是不受神爱的，不被神看见的。	game/script.rpy	162	"[what]"
start_4c271995		边缘者们	game/script.rpy	163	"[what]"
start_973872b3		为什么我们生来就要失去？	game/script.rpy	164	"[what]"
start_3928a113		.......	game/script.rpy	165	"[what]"
start_aaaf03c7		人们怨恨，人们深身处战火，人们渴望安宁度日；	game/script.rpy	166	"[what]"
start_072cb784		我们都身在其中。	game/script.rpy	167	"[what]"
start_38a2251e		树林间可见微弱的幽光若影若现在逼近这支残缺的队伍。	game/script.rpy	171	"[what]"
start_63af622c		细细簌簌的树叶摩擦声和无法遮掩的恶臭引起了拉姆的注意。	game/script.rpy	172	"[what]"
start_9380cfde	x	*比划着手语* 这边离开，我去那边，稍后会合	game/script.rpy	177	x "[what]"
start_d58fdd22	l	*比划着手语* 保重	game/script.rpy	178	l "[what]"
start_f6255c4e	l	我们爱你	game/script.rpy	179	l "[what]"
start_8dc25ee8		拉姆把手中爱人的尸体递过去	game/script.rpy	181	"[what]"
start_1a6b3532	x	保护好他	game/script.rpy	183	x "[what]"
start_ca00e580		短暂的无言交流后，拉姆展翅升空，主动暴露在不远处一群长相类人但明显拥有熊特征的亚人上方	game/script.rpy	189	"[what]"
start_9db17a45		她在月光下拉开了一张尺寸明显不属于她的弓	game/script.rpy	190	"[what]"
start_d3c4ec93	e	找到了！抓活的！	game/script.rpy	195	e "[what]"
start_36680c23	e	抓到活的我们才能交差！	game/script.rpy	196	e "[what]"
start_0fd4d656		......	game/script.rpy	200	"[what]"
start_278c7e29		.........	game/script.rpy	201	"[what]"
start_4ff7ae5e		人们在失去一些东西后换来了安宁的生活。	game/script.rpy	202	"[what]"
start_212a24b0		大家都在努力遗忘伤痛，相互扶持着向前看，但也有人失去了太多，被困在回忆里。	game/script.rpy	203	"[what]"
start_52b590a0		LOCATION ：女巫林中心湖边火鸟暂居处	game/script.rpy	207	"[what]"
start_1ee04e36	topaz	妈妈...？	game/script.rpy	211	topaz "[what]"
start_ff660a0c	x	XX，举起来	game/script.rpy	213	x "[what]"
start_7270d7be	topaz	妈妈，可以不拉弓吗？	game/script.rpy	215	topaz avoid "[what]"
start_4f6e9457	p	“啪--！”	game/script.rpy	217	p "[what]"
start_7879aaf6	p	残疾的拉姆抡圆了手臂，藤条抽在小孩的手上。	game/script.rpy	218	p "[what]"
start_b0b9cd29	p	很清脆的一声，但什么痕迹都没在它身上留下。	game/script.rpy	219	p "[what]"
start_7f6bf880	p	XX低着头，看着脚边小小的木质弓，那是妈妈做的，它很珍惜它。	game/script.rpy	220	p "[what]"
start_80843775	p	它不知道怎么面对‘母亲’的怒火，只是盯着地面，神游天外。	game/script.rpy	221	p "[what]"
start_ef440dba	p	拉姆本要抽下一鞭，但XX的走神让她的手停在半空。	game/script.rpy	222	p "[what]"
start_239cae56	p	……	game/script.rpy	223	p "[what]"
start_d5b722f2	p	她叹出长长的一口气，压下怒火。	game/script.rpy	224	p "[what]"
start_128eaa11	p	千言万语如鲠在喉，面对她最亲近的人，最终化作一声叹。	game/script.rpy	225	p "[what]"
start_86da89cb	x	... 去玩吧，今天不训练。	game/script.rpy	227	x "[what]"
start_48d742da	p	拉姆收起藤条，推着轮椅离开了。	game/script.rpy	230	p "[what]"
start_79e42b60	topaz	又不用练了？	game/script.rpy	232	topaz "[what]"
start_e004d64a	p	XX愣在原地，她还理解不了妈妈对它期望的一切。	game/script.rpy	234	p "[what]"
start_79c3f7fa	p	鞭打，训练，严苛的态度。	game/script.rpy	235	p "[what]"
start_192ed98d	topaz	妈妈给我做的小弓今天不会坏了，嘿嘿。	game/script.rpy	237	topaz smile "[what]"
